valid_auc,test_auc,point,level,seed,n_points,scenario,signal_form,complementarity
0.8155832689548614,0.7582840351080695,"{'gbdt_lr': 0.3, 'max_depth': 4, 'n_rounds': 30, 'reg_lambda': 1.0}",L3b_纵向GBDT,22,81,N3_阶跃_基准,threshold,0.8
0.8386491557223263,0.8453195684955341,"{'dim_embed': 8, 'dim_hidden': 32, 'nn_epochs': 16, 'nn_lr': 0.03}",L3c_SplitNN,22,54,N3_阶跃_基准,threshold,0.8
0.6733824545245222,0.7104303553613815,{'c_reg': 100.0},L0_LR,33,5,N3_阶跃_基准,threshold,0.8
0.6734646886615573,0.7121504007705803,"{'c_reg': 0.01, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,33,60,N3_阶跃_基准,threshold,0.8
0.6925430084536692,0.725463552237779,{'c_reg': 100.0},L2_LR,33,5,N3_阶跃_基准,threshold,0.8
0.7692510114798856,0.7942825690598232,{'c_reg': 0.01},L4_LR,33,5,N3_阶跃_基准,threshold,0.8
0.7679681589421401,0.7911864873232654,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 400}",L3a_联邦LR,33,27,N3_阶跃_基准,threshold,0.8
0.7394493602184139,0.7569919845883932,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 60, 'reg_lambda': 10.0}",L3b_纵向GBDT,33,81,N3_阶跃_基准,threshold,0.8
0.7573928489194435,0.764267776669304,"{'dim_embed': 4, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.01}",L3c_SplitNN,33,54,N3_阶跃_基准,threshold,0.8
0.7082258190632575,0.6918026418026418,{'c_reg': 10.0},L0_LR,44,5,N3_阶跃_基准,threshold,0.8
0.7433927594026116,0.6896658896658897,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,44,60,N3_阶跃_基准,threshold,0.8
0.7160841348033465,0.6934731934731935,{'c_reg': 10.0},L2_LR,44,5,N3_阶跃_基准,threshold,0.8
0.8205098131206506,0.7739057239057239,{'c_reg': 1.0},L4_LR,44,5,N3_阶跃_基准,threshold,0.8
