scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
S5_低重叠高漂移,22,random,L0_内地单方_GBDT,gbdt,2375.0,713.0,0.7980631276901003,0.5946018651362984,2.5464285714285713,0.125,3.138204225352113,0.3125,3.4520246478873235,0.6875,0.0,60.0,0.0,0.0,,,,
S5_低重叠高漂移,22,random,L4_集中式_GBDT,gbdt,2375.0,713.0,0.7777977044476327,0.5124641319942611,6.366071428571429,0.3125,4.393485915492958,0.4375,3.4520246478873235,0.6875,753888.0,60.0,410.0,410.0,,,,
S5_低重叠高漂移,22,random,L3a_联邦LR,federated_logistic,2375.0,713.0,0.7985114777618364,0.5503945480631277,5.0928571428571425,0.25,6.276408450704226,0.625,3.138204225352113,0.625,1329600.0,400.0,,,,,,
S5_低重叠高漂移,22,random,L3b_纵向GBDT,vertical_gbdt,2375.0,713.0,0.7777977044476327,0.5124641319942611,6.366071428571429,0.3125,4.393485915492958,0.4375,3.4520246478873235,0.6875,753888.0,60.0,410.0,410.0,,,,
S5_低重叠高漂移,22,random,L3c_SplitNN_形态A双向,splitnn,2375.0,713.0,0.7727761836441893,0.5003586800573888,5.0928571428571425,0.25,3.7658450704225355,0.375,3.138204225352113,0.625,147456.0,72.0,,,1.0,,,
S5_低重叠高漂移,22,random,L3c_SplitNN_形态B自监督,splitnn,2375.0,713.0,0.8044296987087518,0.5909253945480631,5.0928571428571425,0.25,3.7658450704225355,0.375,3.4520246478873235,0.6875,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,22,random,L3c_SplitNN_形态B随机,splitnn,2375.0,713.0,0.7057926829268293,0.33106169296987087,3.819642857142857,0.1875,1.8829225352112677,0.1875,2.196742957746479,0.4375,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,22,random,L0_内地单方_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.00610106153502076,0.0880952380952381,
S5_低重叠高漂移,22,random,L1_加k匿名统计_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.005660550508381137,0.10952380952380952,
S5_低重叠高漂移,22,random,L2_加粗粒度标记_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.006006066783918717,0.11854838709677419,
S5_低重叠高漂移,22,random,L4_集中式_UPLIFT,t_learner,2375.0,713.0,,,,,,,,,,,,,,0.006564557432466182,0.15421303656597773,
S5_低重叠高漂移,22,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,,,,,,,0.4647887323943662
S5_低重叠高漂移,22,random,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,,,,,,,0.36619718309859156
S5_低重叠高漂移,22,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,,,,,,,0.36619718309859156
S5_低重叠高漂移,22,oot,L0_内地单方_LR,logistic,2375.0,713.0,0.8084009465855307,0.5403989181879648,3.5949579831932774,0.17647058823529413,4.135045567522783,0.4117647058823529,2.953603976801989,0.5882352941176471,0.0,,,,,,,
S5_低重叠高漂移,22,oot,L1_加k匿名统计_LR,logistic,2375.0,713.0,0.8207403651115619,0.5950811359026369,3.5949579831932774,0.17647058823529413,4.725766362883181,0.47058823529411764,2.953603976801989,0.5882352941176471,378.0,,,,,,,
S5_低重叠高漂移,22,oot,L2_加粗粒度标记_LR,logistic,2375.0,713.0,0.7980054090601758,0.5791920216362407,2.396638655462185,0.11764705882352941,4.135045567522783,0.4117647058823529,2.953603976801989,0.5882352941176471,0.0,,,,,,,
S5_低重叠高漂移,22,oot,L4_集中式_LR,logistic,2375.0,713.0,0.8544624746450303,0.6279580797836376,5.991596638655462,0.29411764705882354,5.3164871582435795,0.5294117647058824,2.953603976801989,0.5882352941176471,0.0,,,,,,,
S5_低重叠高漂移,22,oot,L0_内地单方_GBDT,gbdt,2375.0,713.0,0.7628465179175119,0.442866801893171,3.5949579831932774,0.17647058823529413,3.544324772162386,0.35294117647058826,2.3628831814415907,0.47058823529411764,0.0,60.0,0.0,0.0,,,,
S5_低重叠高漂移,22,oot,L4_集中式_GBDT,gbdt,2375.0,713.0,0.8040906017579446,0.5505409060175794,7.189915966386555,0.35294117647058826,5.907207953603978,0.5882352941176471,2.953603976801989,0.5882352941176471,751872.0,60.0,408.0,408.0,,,,
S5_低重叠高漂移,22,oot,L3a_联邦LR,federated_logistic,2375.0,713.0,0.8327417173766059,0.5618661257606491,5.991596638655462,0.29411764705882354,4.135045567522783,0.4117647058823529,3.544324772162386,0.7058823529411765,1329600.0,400.0,,,,,,
