scenario,split,level,auc_mean,ci_low,ci_high,n_seeds
S2_零互补,oot,L2_加粗粒度标记_LR,0.7230765131598578,0.6843749901866112,0.7617780361331044,5.0
S2_零互补,oot,L3a_联邦LR,0.7382634493123337,0.6931637278170276,0.7833631708076397,5.0
S2_零互补,oot,L3b_纵向GBDT,0.7098119836890107,0.663154891417373,0.7564690759606483,5.0
S2_零互补,oot,L3c_SplitNN_形态A双向,0.7193238304348364,0.6693595706881424,0.7692880901815303,5.0
S2_零互补,oot,L3c_SplitNN_形态B自监督,0.7068427416115458,0.6567547910599506,0.756930692163141,5.0
S2_零互补,oot,L3c_SplitNN_形态B随机,0.6927548355703277,0.6545164849191335,0.7309931862215219,5.0
S2_零互补,oot,L4_集中式_GBDT,0.7098119836890107,0.663154891417373,0.7564690759606483,5.0
S2_零互补,oot,L4_集中式_LR,0.737983555933879,0.6932374578334382,0.7827296540343198,5.0
S2_零互补,random,L0_内地单方_GBDT,0.6993812560839353,0.6605427677990678,0.7382197443688028,5.0
S2_零互补,random,L0_内地单方_LR,0.7214788933005957,0.6796710276556261,0.7632867589455652,5.0
S2_零互补,random,L1_加k匿名统计_LR,0.719107347492214,0.6742261449642556,0.7639885500201725,5.0
S2_零互补,random,L2_加粗粒度标记_LR,0.7246093149026149,0.6835134876361266,0.7657051421691032,5.0
S2_零互补,random,L3a_联邦LR,0.7468897724298375,0.7136980883687478,0.7800814564909271,5.0
S2_零互补,random,L3b_纵向GBDT,0.7285807755744047,0.6842104541182985,0.7729510970305109,5.0
S2_零互补,random,L3c_SplitNN_形态A双向,0.7343927263737059,0.6937271273402096,0.7750583254072022,5.0
S2_零互补,random,L3c_SplitNN_形态B自监督,0.726995108887151,0.6919353980979195,0.7620548196763826,5.0
S2_零互补,random,L3c_SplitNN_形态B随机,0.7105536471885375,0.6708371546504127,0.7502701397266623,5.0
S2_零互补,random,L4_集中式_GBDT,0.7285807755744047,0.6842104541182985,0.7729510970305109,5.0
S2_零互补,random,L4_集中式_LR,0.7468820436521093,0.7136557655639042,0.7801083217403144,5.0
S3_高互补,oot,L0_内地单方_GBDT,0.6439217340869144,0.6248666648694791,0.6629768033043498,5.0
S3_高互补,oot,L0_内地单方_LR,0.692517034927586,0.6679033219584172,0.7171307478967548,5.0
S3_高互补,oot,L1_加k匿名统计_LR,0.6925057748703342,0.6669916037153767,0.7180199460252916,5.0
S3_高互补,oot,L2_加粗粒度标记_LR,0.7103201911507053,0.6847184576419394,0.7359219246594713,5.0
S3_高互补,oot,L3a_联邦LR,0.8990587593948286,0.8839245349472293,0.9141929838424279,5.0
S3_高互补,oot,L3b_纵向GBDT,0.8633072590790437,0.8351479793106943,0.8914665388473931,5.0
S3_高互补,oot,L3c_SplitNN_形态A双向,0.8890348729232155,0.8711532578551224,0.9069164879913085,5.0
S3_高互补,oot,L3c_SplitNN_形态B自监督,0.7857687609827787,0.742444320320581,0.8290932016449764,5.0
S3_高互补,oot,L3c_SplitNN_形态B随机,0.7716145692865115,0.7371915105391861,0.8060376280338369,5.0
S3_高互补,oot,L4_集中式_GBDT,0.8633072590790437,0.8351479793106943,0.8914665388473931,5.0
S3_高互补,oot,L4_集中式_LR,0.8989800670268746,0.8839040943560191,0.9140560396977301,5.0
S3_高互补,random,L0_内地单方_GBDT,0.6453231769921748,0.5829044319951387,0.7077419219892108,5.0
S3_高互补,random,L0_内地单方_LR,0.6921923038281828,0.6507404775084041,0.7336441301479614,5.0
S3_高互补,random,L1_加k匿名统计_LR,0.6936751876407731,0.6456683961252575,0.7416819791562886,5.0
S3_高互补,random,L2_加粗粒度标记_LR,0.714139138747132,0.6615982034746756,0.7666800740195884,5.0
S3_高互补,random,L3a_联邦LR,0.9011169314631792,0.86606553484803,0.9361683280783284,5.0
S3_高互补,random,L3b_纵向GBDT,0.8722928934759407,0.8267708257863462,0.9178149611655353,5.0
S3_高互补,random,L3c_SplitNN_形态A双向,0.8822273357295847,0.8379642836655363,0.926490387793633,5.0
S3_高互补,random,L3c_SplitNN_形态B自监督,0.7821898812235919,0.7323503644584239,0.8320293979887599,5.0
S3_高互补,random,L3c_SplitNN_形态B随机,0.7702943131686693,0.7151102016875743,0.8254784246497642,5.0
S3_高互补,random,L4_集中式_GBDT,0.8722928934759407,0.8267708257863462,0.9178149611655353,5.0
S3_高互补,random,L4_集中式_LR,0.9007779372958626,0.8655563320654177,0.9359995425263076,5.0
S4_高冗余,oot,L0_内地单方_GBDT,0.7144711569373052,0.6730463150390998,0.7558959988355106,5.0
S4_高冗余,oot,L0_内地单方_LR,0.746317306826725,0.7158161818997477,0.7768184317537024,5.0
S4_高冗余,oot,L1_加k匿名统计_LR,0.7440996819206577,0.7126799119226295,0.7755194519186859,5.0
S4_高冗余,oot,L2_加粗粒度标记_LR,0.7482104371022391,0.7167590087974396,0.7796618654070386,5.0
S4_高冗余,oot,L3a_联邦LR,0.8039225576410731,0.7709269041158058,0.8369182111663405,5.0
S4_高冗余,oot,L3b_纵向GBDT,0.7726493405010144,0.74453744660655,0.8007612343954789,5.0
S4_高冗余,oot,L3c_SplitNN_形态A双向,0.7698400229566701,0.7357012691515131,0.803978776761827,5.0
S4_高冗余,oot,L3c_SplitNN_形态B自监督,0.7233101284204754,0.6577378394482225,0.7888824173927282,5.0
S4_高冗余,oot,L3c_SplitNN_形态B随机,0.7113656963412509,0.6704995015106988,0.752231891171803,5.0
S4_高冗余,oot,L4_集中式_GBDT,0.7726493405010144,0.74453744660655,0.8007612343954789,5.0
S4_高冗余,oot,L4_集中式_LR,0.8035253119871681,0.7708176815602101,0.8362329424141262,5.0
S4_高冗余,random,L0_内地单方_GBDT,0.7339121184100487,0.6833797575848737,0.7844444792352236,5.0
S4_高冗余,random,L0_内地单方_LR,0.7536088541901578,0.7103448452676304,0.7968728631126851,5.0
S4_高冗余,random,L1_加k匿名统计_LR,0.7477113480960647,0.7045494310040116,0.7908732651881177,5.0
S4_高冗余,random,L2_加粗粒度标记_LR,0.7562739267207933,0.7109942504714554,0.8015536029701312,5.0
S4_高冗余,random,L3a_联邦LR,0.8162600907435996,0.7680620410221819,0.8644581404650173,5.0
S4_高冗余,random,L3b_纵向GBDT,0.7676352683092904,0.7045042297198265,0.8307663068987543,5.0
S4_高冗余,random,L3c_SplitNN_形态A双向,0.7760718865446594,0.7028423337344665,0.8493014393548524,5.0
S4_高冗余,random,L3c_SplitNN_形态B自监督,0.7472888074520841,0.7009601554487905,0.7936174594553778,5.0
S4_高冗余,random,L3c_SplitNN_形态B随机,0.7474508795167016,0.6983973334375643,0.796504425595839,5.0
S4_高冗余,random,L4_集中式_GBDT,0.7676352683092904,0.7045042297198265,0.8307663068987543,5.0
S4_高冗余,random,L4_集中式_LR,0.8161626570598081,0.7679652972366109,0.8643600168830052,5.0
S5_低重叠高漂移,oot,L0_内地单方_GBDT,0.6470741180512579,0.5774177461996615,0.7167304899028544,5.0
S5_低重叠高漂移,oot,L0_内地单方_LR,0.7037254769873671,0.6343087879665181,0.7731421660082161,5.0
S5_低重叠高漂移,oot,L1_加k匿名统计_LR,0.7045198853765469,0.6334555575480462,0.7755842132050476,5.0
S5_低重叠高漂移,oot,L2_加粗粒度标记_LR,0.7117049294289238,0.6422617783477774,0.7811480805100702,5.0
S5_低重叠高漂移,oot,L3a_联邦LR,0.7953556228121814,0.7436605488751321,0.8470506967492307,5.0
S5_低重叠高漂移,oot,L3b_纵向GBDT,0.7195659766712925,0.5786569586457029,0.8604749946968822,5.0
S5_低重叠高漂移,oot,L3c_SplitNN_形态A双向,0.6820617178164998,0.6265790805122773,0.7375443551207224,5.0
