scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,sweep_param,sweep_value,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
SWEEP_complementarity_0.0,44,random,L3b_纵向GBDT,vertical_gbdt,7289.0,2187.0,0.6888454011741683,0.3283622376678588,4.299475753604194,0.21428571428571427,3.152948885976409,0.3142857142857143,2.287806472703498,0.45714285714285713,1998000.0,complementarity,0.0,60.0,420.0,420.0,,,,
SWEEP_complementarity_0.0,44,random,L3c_SplitNN_形态A双向,splitnn,7289.0,2187.0,0.7126526756191375,0.33852486672515014,2.29305373525557,0.11428571428571428,3.009633027522936,0.3,2.287806472703498,0.45714285714285713,466944.0,complementarity,0.0,228.0,,,1.0,,,
SWEEP_complementarity_0.0,44,random,L3c_SplitNN_形态B自监督,splitnn,7289.0,2187.0,0.7185100209190904,0.34244550914366695,4.8727391874180865,0.24285714285714285,2.866317169069463,0.2857142857142857,2.287806472703498,0.45714285714285713,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,44,random,L3c_SplitNN_形态B随机,splitnn,7289.0,2187.0,0.6880896146838519,0.31719414265470003,3.7262123197903017,0.18571428571428572,2.72300131061599,0.2714285714285714,2.502288329519451,0.5,233472.0,complementarity,0.0,228.0,,,0.0,,,
SWEEP_complementarity_0.0,44,random,L0_内地单方_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.008027486145977744,0.12844036697247707,
SWEEP_complementarity_0.0,44,random,L1_加k匿名统计_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.008270788220017354,0.1317672812999916,
SWEEP_complementarity_0.0,44,random,L2_加粗粒度标记_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.007858381087644733,0.14355476972299402,
SWEEP_complementarity_0.0,44,random,L4_集中式_UPLIFT,t_learner,7289.0,2187.0,,,,,,,,,,complementarity,0.0,,,,,0.007770033137463998,0.15875420875420876,
SWEEP_complementarity_0.0,44,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.6972477064220184
SWEEP_complementarity_0.0,44,random,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5642201834862385
SWEEP_complementarity_0.0,44,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,complementarity,0.0,,,,,,,0.5963302752293578
SWEEP_complementarity_0.0,55,random,L0_内地单方_LR,logistic,7121.0,2137.0,0.7865487819585142,0.5189339122045344,4.725088443396226,0.234375,4.389377934272301,0.4375,3.2061255854800934,0.640625,0.0,complementarity,0.0,,,,,,,
SWEEP_complementarity_0.0,55,random,L1_加k匿名统计_LR,logistic,7121.0,2137.0,0.7850865291847564,0.5452544621321755,4.410082547169811,0.21875,4.232614436619718,0.421875,3.1279274004683844,0.625,384.0,complementarity,0.0,,,,,,,
